Name,AKA,Keywords,Related Library,Stage,Status,Theme / Topic,Type
Pre-Mortem,,,,Define / Deploy,Draft,"Best Practices, Strategy",Research
Attention Persona (?),,,,Define,Draft,"Audience, Persona",Framework
Brand Touchpoints,,,,Design,Draft,Brand,Framework
Culture Research Techniques,,,,Discover,Draft,"Community, Culture",Research
Fan Clubs,,,,Deploy,Draft,"Community, Engagement, Fans",Research
Fan Journey,,,,Define / Design,Draft,"Fan Journey, Fans, Growth",Framework
Manifesto Plan,,,,Deploy,Draft,"Brand, Strategy",Playbook
Meaningful Metrics,,,,Measure,Draft,"KPIs, Metrics",Metric Framework
Netnography,,,,Discover,Draft,"Culture, Research",Research
Principles & Beliefs,,,,All,Canonical,"Beliefs, Strategy",Principle
Research Framework,,,,Discover,Draft,Research,Research
Storytelling,,,,Design,Draft,"Narrative, Storytelling",Framework
The List,,,,Define / Deploy,Draft,Process,Method
Hand Signs,,,,Design / Deploy,Draft,"Culture, Fan Identity, Symbols",Research
Idents,,,,Design / Deploy,Draft,"Branding, Culture, Visual Identity",Research
Culture Framework,,,,All,Canonical,"Culture, Research",Framework
Fanbase Branding,,,,Design,Draft,"Branding, Culture, Fan Community",Research
Streaming Data Principles,,,,Discover,Canonical,Research,Playbook
Streaming Framework,,,,Design / Deploy,Draft,"Data, Streaming",Framework
"Bible: Marketing ",,,,Discover,Canonical,"Best Practices, Marketing, Research",Research
Bible: Album Campaigns,,,,Discover / Deploy,Draft,"Research, Strategy",Research
Album Release Ideas,,,,Deploy,Draft,"Albums, Strategy",Playbook
Artist Brands,,,,Discover,Draft,"Branding, Inspiration",Research
Culture Case Study: Charli xcx,,,,Discover,Draft,Culture,Research
Artist Numbers,,,,Discover,Draft,"Branding, Culture",Research
Bible: Merch,,,,Discover,Canonical,"Merch, Research",Research