Type,Category,Company / Person,Low End,High End,Notes,Country
Bio Writing,PR,Freelance,£300.00,£700.00,,
Club,"Club, Promo",Your Army,,,,Australia
Club,"Club, Promo",Canvas,£300.00,,£350 if invoicing ex-UK,UK
Club,"Club, Promo",Your Army,£800.00,"£1,250.00",Single campaign,USA
Club,"Club, Promo",Your Army,,£600.00,Single campaign (Indie Level),Global
Digital Mastering,"Music, Recording",Metropolis,£90.00,£240.00,High end rate p/h (1 track done in 0.5 hr),UK
Digital Mastering,"Music, Recording",Abbey Road,,£210.00,Hourly,UK
Digital Mastering,"Music, Recording",StarDelta,,£60.00,1 track,UK
Digital Mastering,"Music, Recording",Sterling Sound,,£225.00,1 track — USD,UK
FOH,Live,,£250.00,,Show day,
Hair Stylist,"HMU, Styling",Amelia Studios,£500.00,,Shoot day,UK
Hospitality / Retail / Student,Promo,Renegade,"£1,000.00",,,
Make Up,"HMU, Styling",Emma Ragean,£450.00,,Shoot day,UK
MD,Live,Louis Semlekan-Faith,£250.00,,Rehearsal day,UK
MD,Live,Louis Semlekan-Faith,£350.00,,Show day,UK
National Radio Plugger,"Promo, Radio",,,"£1,000.00",Single campaign – 4-6 weeks,Germany
National Radio Plugger,"Promo, Radio",Your Army,,"£3,500.00",Single campaign,UK
National Radio Plugger,"Promo, Radio",Your Army,,"£2,100.00",Single campaign,USA
Photography Studio Rental,,Dot Athena,,£400.00,p/d,UK
PR (National),"PR, Promo",Bossy,,,,Australia
PR (National),"PR, Promo",Toast,"£2,000.00","£2,500.00",EP campaign - 3 months,UK
PR (National),"PR, Promo",Toast,"£1,500.00","£2,500.00",p/m album campaign,UK
PR (National),"PR, Promo",Cherry,,"£3,000.00",p/m album campaign,UK
PR (National),"PR, Promo",Cherry,"£2,000.00",,Single campaign,UK
PR (National),"PR, Promo",Cherry,"£3,000.00","£3,500.00",EP campaign - 3 months,UK
PR (National),"PR, Promo",Toast,"£1,000.00","£2,000.00",Single campaign,UK
PR (National),"PR, Promo",,"£1,000.00","£1,500.00",Single Campaign – Euros,Germany
PR (Regional),"PR, Promo",Pomona,,"£1,500.00",Album campaign + tour,UK
Regional Radio Plugger,"Promo, Radio",Tuned In Media,£800.00,"£1,500.00",Album campaign,UK
Retail,Promo,,,,,
Session Drummer,"Music, Musician",,,,Off day,
Session Drummer,"Music, Musician",,,,Show day,
Session Guitarist,"Music, Musician",,,,Show day,
Session Guitarist,"Music, Musician",,,,Off day,
Session Keys,"Music, Musician",,,,Show day,
Session Keys,"Music, Musician",,,,Off day,
Socials Management,"Promo, Socials",CYOA,£850.00,"£1,500.00",p/m retainer,UK
Spatial Audio Mastering,"Music, Recording",Metropolis,,"£1,000.00",Per track,UK
Sports,Promo,Shoot Music,,,Per track,
Student,"Promo, Radio",,£500.00,,Single Campaign – Can be combined with Retail,
Studio Rental,"Music, Recording",Church Studios,,£750.00,Per day (overtime £75 p/h),UK
Studio Rental,"Music, Recording",,£250.00,£500.00,Per day,
Stylist,Styling,Rebecca O’Dwyer,£250.00,£400.00,shoot day. p/d,UK
Stylist,Styling,Rebecca O’Dwyer,£250.00,,prep / return day. p/d,UK
TV Plugger,"Promo, TV",Big Sister,,"£2,500.00",Single campaign,UK